Province/State,City,Lat,Long,3/21/2020,3/22/2020,3/23/2020,3/24/2020,Total
Gujarat,Rajkot,,,,,,,1
Gujarat,Ahemdabad,,,,,,,13
Gujarat,Surat,,,,,,,6
Gujarat,Vadodara,,,,,,,6
Gujarat,Gandhinagar,,,,,,,4
Gujarat,Rajkot,,,,,,,1
Gujarat,Ahemdabad,,,,,,,13
Gujarat,Surat,,,,,,,6
Gujarat,Vadodara,,,,,,,6
Gujarat,Gandhinagar,,,,,,,4
Gujarat,Rajkot,,,,,,,1
Gujarat,Ahemdabad,,,,,,,13
Gujarat,Surat,,,,,,,6
Gujarat,Vadodara,,,,,,,6
Gujarat,Gandhinagar,,,,,,,4
Gujarat,Rajkot,,,,,,,1
Gujarat,Ahemdabad,,,,,,,13
Gujarat,Surat,,,,,,,6
Gujarat,Vadodara,,,,,,,6
Gujarat,Gandhinagar,,,,,,,4
Gujarat,Rajkot,,,,,,,1
Gujarat,Ahemdabad,,,,,,,13
Gujarat,Surat,,,,,,,6
Gujarat,Vadodara,,,,,,,6
Gujarat,Gandhinagar,,,,,,,4
Gujarat,Rajkot,,,,,,,1
Gujarat,Ahemdabad,,,,,,,13
Gujarat,Surat,,,,,,,6
Gujarat,Vadodara,,,,,,,6
Gujarat,Gandhinagar,,,,,,,4
